EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha
BG,i01.f,2004,0.03992056700804029
BG,i01.f,2005,4.252198332911415e-19
BG,i01.f,2006,5.957392984776561e-18
BG,i01.f,2007,1.003636800016367e-17
BG,i01.f,2008,0.0
BG,i01.f,2009,0.0
BG,i01.f,2010,0.0
BG,i01.f,2011,0.0
BG,i01.f,2012,0.0
BG,i01.f,2013,0.0
BG,i01.f,2014,0.0
BG,i01.f,2015,0.0
BG,i01.f,2016,0.0
BG,i01.f,2017,0.0
BG,i01.f,2018,0.0
BG,i01.f,2019,0.0
BG,i01.f,2020,0.0
BG,i01.f,2021,0.0
BG,i01.f,2022,0.0
BG,i01.g,2001,0.04975006290003947
BG,i01.g,2002,1.798234291422618e-18
BG,i01.g,2003,3.718481712544601e-18
BG,i01.g,2004,0.0
BG,i01.g,2005,4.071463473320899e-19
BG,i01.g,2006,0.08216263086404721
BG,i01.g,2007,7.019204411329417e-18
BG,i01.g,2008,0.0070648434402987405
BG,i01.g,2009,0.0
BG,i01.g,2010,0.0
BG,i01.g,2011,0.0
BG,i01.g,2012,4.716156154619824
BG,i01.g,2013,8.001521285926279
BG,i01.g,2014,9.66233500972439
BG,i01.g,2015,0.4063417075928164
BG,i01.g,2016,1.408783805959702
BG,i01.g,2017,1.68062566250228
BG,i01.g,2018,1.818838893580765
BG,i01.g,2019,1.943940189428101
BG,i01.g,2020,3.058360014546118
BG,i01.g,2021,2.746341553358496
BG,i01.g,2022,2.984558817957685
BG,i01.h,2001,86.37734307963949
BG,i01.h,2002,0.9531067526955047
BG,i01.h,2003,0.009512973637592358
BG,i01.h,2004,0.014299904599895028
BG,i01.h,2005,0.1967807934736141
BG,i01.h,2006,17.98670528373311
BG,i01.h,2007,24.406953129538536
BG,i01.h,2008,4.062284978171775
BG,i01.h,2009,0.0403143284226071
BG,i01.h,2010,0.009641699751549031
BG,i01.h,2011,0.018103109918446332
BG,i01.h,2012,24.958181182499473
BG,i01.h,2013,36.887859352462954
BG,i01.h,2014,0.16224866565158058
BG,i01.h,2015,0.024726675918427008
BG,i01.h,2016,0.8801411698619526
BG,i01.h,2017,2.1489967487734076
BG,i01.h,2018,2.248746268427127
BG,i01.h,2019,1.7445617084611158
BG,i01.h,2020,4.626749765595409
BG,i01.h,2021,3.544627384486563
BG,i01.h,2022,3.887417429995082
BG,i01.i,2001,458.5657871603001
BG,i01.i,2002,314.2085697720049
BG,i01.i,2003,437.413650238845
BG,i01.i,2004,628.1314748186389
BG,i01.i,2005,0.0
BG,i01.i,2006,0.0
